Competencia,Roles,Cursos,Clasificación,Especificación,Tipo de desarrollo,Asociado a...
Python,"Data Analyst,Data Scientist,Data Scientist Junior","Introducción a Python,Clean Code para Data Scientist I,Clean Code para Data Scientist II,Análisis multivariante,Gestión de datos y casos prácticos con Python,Jupyter Notebooks,Chat GPT+ Python = un dúo creativo,Introducción a Python: creación de primeros proyectos",Lenguaje,,Back-end,
PyTorch,,,Librería,,Back-end,Python
Quasar,,,Librería Modular,,Front-end,JavaScript
QuestDB,,,Base de Datos,Base de datos relacional,Back-end,SQL
RabbitMQ,,,,Broker de mensajería,,
Rack,,,Programa,,Back-end,Ruby
Ramda,,,Librería,,Front-end,JavaScript
Ratpack,,,Framework,,Back-end,Groovy
React Native,,"React Native I: Introducción a la creación de aplicaciones multiplataforma.,React Native II: Crear una app con consumo de APIs e interacción con el usuario",Framework,Diseño UX/UI,Front-end,JavaScript
React Router DOM,,,Librería Modular,,Front-end,JavaScript
React Testing Library,QA Tester,,Testing,Herramienta de testing,Front-end,JavaScript
ReactJS,"Front-end Developer Junior,Full-Stack Developer Junior","Track formativo en React con Material UI y TypeScript. Sesión I: Introducción a Material UI.,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Track formativo en React con Material UI y TypeScript. Sesión IV: Theme & Context: Dark Mode",Framework,,Front-end,JavaScript
Realms,,,Librería,,Back-end,Kotlin
Redis,,,Base de Datos,Base de datos no relacional,Back-end,SQL
Redux,,,Librería Modular,,Front-end,JavaScript
Regresión,QA Tester,Regresión Lineal,Testing,Tipo de testing,,
Rendimiento o carga,QA Tester,,Testing,Tipo de testing,Back-end,
Replicación,,,Patrón de resiliencia,,,
Requery,,,Librería,,Back-end,Kotlin
REST,,,,Protocolo de comunicación,,
RESTFull,,,API,Tipo de API,,
Revel,,,Framework,,Back-end,Golang
Riak,,,Base de Datos,Base de datos no relacional,Back-end,SQL
RKT,,,,Contenedor,,
Room,,,Librería,,Back-end,Kotlin
Ruby,,,Lenguaje,,Back-end,
Ruby on Rails,,,Framework,,Back-end,Ruby
RxJava,,,Librería,,Back-end,"Kotlin,Java"
SASS,,,Framework,,Front-end,"HTML,CSS"
Scikit-learn,,,Librería,,Back-end,Python
Scrum,,Introducción a Agile,Marco de trabajo,Metodología ágil,,
Seaborn,Data Scientist,,Librería,,Back-end,Python
Selenium,QA Tester,Testing con Selenium,Testing,Herramienta de testing,Back-end,Python
Serverless,,Revolución Serverless: AWS,Framework,,Back-end,
Shimmer,,,Librería,,Back-end,Kotlin
Simulink,,Image Segmentation,Programa,,Back-end,MATLAB
Sinatra,,,Librería,,Back-end,Ruby
Singleton,,,Patrones de diseño y Arquitectura del software,Patrón de creación,Back-end,
Skeleton,,,Framework,,Front-end,"HTML,CSS"
SLF4J,,,Librería,,Back-end,Java
SOAP,,,,Protocolo de comunicación,,
Socket.IO,,Desarrollo de un chat con Socket.io,Librería,,Front-end,JavaScript
SOLID,,,Buena práctica,Clean Code,,
Sonar,QA Tester,,Testing,Herramienta de testing,"Back-end,Front-end","JavaScript,Java"
Spark,,,Framework,,Back-end,Kotlin
Spring,,,Framework,,Back-end,"Kotlin,Java,Groovy"
Spring Boot,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring Cloud,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring Data,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring MVC,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring Security,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring web flux,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
SproutCore,,,Framework,,Front-end,"HTML,CSS"
SQL,"Back-end Developer Junior,Full-Stack Developer Junior,Data Analyst,Data Scientist,Data Scientist Junior",Bases de datos SQL vs NoSQL,Lenguaje,,Back-end,
Stetho,,,Librería,,Back-end,Kotlin
Strategy,,,Patrones de diseño y Arquitectura del software,Patrón de comportamiento,Back-end,
Streamlit,"Data Scientist,Data Scientist Junior",,,Business Intelligence,,
Struts,,,Framework,,Back-end,Java
Svelte,,"Svelte I,Svelte II,Svelte III",Framework,,Front-end,JavaScript
SVN,,,Controlador de versiones,,"Back-end,Front-end",
Symfony,,,Framework,,Back-end,PHP
Tableau,Data Analyst,,Software,Business Intelligence,"Back-end,Front-end",
TDD,QA Tester,,Testing,Tipo de testing,Front-end,
TeamCity,,,CI/CD,,,
TensorFlow,,,Librería,,Back-end,Python
Thrift,,,,Protocolo de comunicación,,
Timeouts,,,Patrón de resiliencia,,,
Travis,,,CI/CD,,,
TypeScript,,"Track formativo en React con Material UI y TypeScript. Sesión I: Introducción a Material UI.,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Typescript I,Track formativo en React con Material UI y TypeScript. Sesión IV: Theme & Context: Dark Mode,Typescript II,Introducción a TypeScript,Patrones de diseño en TypeScript",Lenguaje,,Front-end,
Unified Modeling Language,,,Lenguaje,,Back-end,
Unitarios,QA Tester,Introducción al Unit Testing con Python,Testing,Tipo de testing,,
Unity,,,,,,
Vert.x,,,Framework,,Back-end,Kotlin
