Tabla M,nombre_dividido,standard_company_name,Estado
auren digital,"['auren', 'digital']",Auren International,Correcto
auren personas,"['auren', 'personas']",Auren International,Correcto
avanade,['avanade'],Avanade,Correcto
avanade inc.,"['avanade', 'inc.']",Avanade,Correcto
avanade spain,"['avanade', 'spain']",Avanade,Correcto
avansel selección,"['avansel', 'selección']",Avansel Selección,Correcto
avansel selección,"['avansel', 'selección']",Avansel Selección,Correcto
aviva,['aviva'],Aviva Publicidad,Correcto
aviva publicidad,"['aviva', 'publicidad']",Aviva Publicidad,Correcto
avnet,['avnet'],Avnet,Correcto
avnet spain,"['avnet', 'spain']",Avnet,Correcto
avvale,['avvale'],Avvale,Correcto
avvale españa,"['avvale', 'españa']",Avvale,Correcto
axxis systems,"['axxis', 'systems']",Axxis Systems,Correcto
"axxis systems europe, s.l.","['axxis', 'systems', 'europe,', 's.l.']",Axxis Systems,Correcto
axxon,['axxon'],Axxon,Correcto
"axxon selecting ett, s.l.","['axxon', 'selecting', 'ett,', 's.l.']",Axxon,Correcto
azertium it,"['azertium', 'it']",Azertium IT,Correcto
azertium it global services sl,"['azertium', 'it', 'global', 'services', 'sl']",Azertium IT,Correcto
babel,['babel'],Grupo BABEL,Correcto
babel profiles,"['babel', 'profiles']",Grupo BABEL,Correcto
bairesdev,['bairesdev'],BairesDev,Correcto
bairesdev,['bairesdev'],BairesDev,Correcto
bairesdev llc,"['bairesdev', 'llc']",BairesDev,Correcto
"banco bilbao vizcaya argentaria, s.a.","['banco', 'bilbao', 'vizcaya', 'argentaria,', 's.a.']",BBVA,Correcto
banco sabadell,"['banco', 'sabadell']",Banco Sabadell,Correcto
banco sabadell,"['banco', 'sabadell']",Banco Sabadell,Correcto
banco santander,"['banco', 'santander']",Banco Santander,Correcto
banco santander s. a.,"['banco', 'santander', 's.', 'a.']",Banco Santander,Correcto
banco santander s.a.,"['banco', 'santander', 's.a.']",Banco Santander,Correcto
banco santander sa,"['banco', 'santander', 'sa']",Banco Santander,Correcto
banco santander sa,"['banco', 'santander', 'sa']",Banco Santander,Correcto
bbva information technology españa sl.,"['bbva', 'information', 'technology', 'españa', 'sl.']",BBVA,Correcto
