level_0,level_1,Competencia
157,Cursos,"Métricas de Evaluación,Resolución del reto de predicción de impago con Machine Learning,""Presentación del reto """"Uso de Machine Learning para predecir el impago"""""",Aprendizaje supervisado y No supervisado,MLOps en la nube,""ChatGPT: IA a la disposición del desarrollo, como sacar provecho y estar preparados para el futuro."""
157,Especificación,Artificial Intelligence
157,Tipo de desarrollo,Back-end
158,Competencia,Machine Learning Debugging
158,Especificación,Artificial Intelligence
158,Tipo de desarrollo,Back-end
159,Competencia,Mango
159,Clasificación,Framework
159,Tipo de desarrollo,Back-end
159,Asociado a...,Golang
160,Competencia,MariaDB
160,Clasificación,Base de Datos
160,Especificación,Base de datos relacional
160,Tipo de desarrollo,Back-end
160,Asociado a...,SQL
161,Competencia,Markdown
161,Cursos,Clean Code para Data Scientist II
161,Clasificación,Lenguaje
161,Tipo de desarrollo,Front-end
162,Competencia,Martini
162,Clasificación,Framework
162,Tipo de desarrollo,Back-end
162,Asociado a...,Golang
163,Competencia,Material UI
163,Cursos,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI
163,Clasificación,Librería Modular
163,Tipo de desarrollo,Front-end
163,Asociado a...,JavaScript
164,Competencia,Materialize
164,Clasificación,Framework
164,Tipo de desarrollo,Front-end
164,Asociado a...,"HTML,CSS"
165,Competencia,MaterialToast
165,Clasificación,Librería
165,Tipo de desarrollo,Back-end
165,Asociado a...,Kotlin
166,Competencia,MathJS
166,Clasificación,Librería
166,Tipo de desarrollo,Front-end
166,Asociado a...,JavaScript
167,Competencia,MATLAB
167,Clasificación,Lenguaje
167,Tipo de desarrollo,Back-end
168,Competencia,Matplotlib
168,Roles,Data Scientist
168,Clasificación,Librería
168,Tipo de desarrollo,Back-end
168,Asociado a...,Python
169,Competencia,Mercurial
169,Clasificación,Controlador de versiones
169,Tipo de desarrollo,"Back-end,Front-end"
170,Competencia,Mercury.js
170,Clasificación,Framework
170,Tipo de desarrollo,Front-end
170,Asociado a...,JavaScript
171,Competencia,Micronaut
171,Clasificación,Framework
171,Tipo de desarrollo,Back-end
171,Asociado a...,Kotlin
172,Competencia,Microservicios
172,Clasificación,Patrones de diseño y Arquitectura del software
172,Especificación,Patrón arquitectónico
172,Tipo de desarrollo,Back-end
173,Competencia,Microsoft SQL Server
173,Clasificación,Base de Datos
173,Especificación,Base de datos relacional
173,Tipo de desarrollo,Back-end
173,Asociado a...,SQL
174,Competencia,Mocha
174,Roles,QA Tester
174,Clasificación,Testing
174,Especificación,Herramienta de testing
174,Tipo de desarrollo,Front-end
174,Asociado a...,JavaScript
175,Competencia,Mockito
175,Roles,QA Tester
175,Clasificación,Testing
175,Especificación,Herramienta de testing
175,Tipo de desarrollo,Back-end
175,Asociado a...,Java
176,Competencia,Modelo-Vista-Controlador (MVC)
176,Clasificación,Patrones de diseño y Arquitectura del software
176,Especificación,Patrón arquitectónico
176,Tipo de desarrollo,Back-end
177,Competencia,Moment.js
177,Clasificación,Librería
177,Tipo de desarrollo,Front-end
177,Asociado a...,JavaScript
178,Competencia,MongoDB
178,Clasificación,Base de Datos
178,Especificación,Base de datos no relacional
178,Tipo de desarrollo,Back-end
178,Asociado a...,SQL
179,Competencia,Montage
179,Clasificación,Framework
179,Tipo de desarrollo,Front-end
179,Asociado a...,"HTML,CSS"
180,Competencia,MPAndroidChart
180,Clasificación,Librería
180,Tipo de desarrollo,Back-end
180,Asociado a...,Kotlin
181,Competencia,MySQL
181,Cursos,Administración de MySQL
181,Clasificación,Base de Datos
181,Especificación,Base de datos relacional
181,Tipo de desarrollo,Back-end
181,Asociado a...,SQL
182,Competencia,Nagios
182,Clasificación,Monitorización
183,Competencia,Neo4j
183,Clasificación,Base de Datos
183,Especificación,Base de datos no relacional
183,Tipo de desarrollo,Back-end
183,Asociado a...,SQL
184,Competencia,NestJS
184,Clasificación,Framework
184,Tipo de desarrollo,Back-end
184,Asociado a...,"JavaScript,TypeScript"
185,Competencia,NewRelic
185,Clasificación,Monitorización
186,Competencia,Next.js
186,Clasificación,Framework
186,Tipo de desarrollo,Back-end
186,Asociado a...,"JavaScript,TypeScript"
187,Competencia,NG animate
187,Clasificación,Librería Modular
187,Tipo de desarrollo,Front-end
187,Asociado a...,TypeScript
188,Competencia,NG Bootstrap
188,Clasificación,Librería Modular
188,Tipo de desarrollo,Front-end
188,Asociado a...,TypeScript
189,Competencia,NgRx
189,Clasificación,Librería Modular
189,Tipo de desarrollo,Front-end
189,Asociado a...,TypeScript
190,Competencia,NGX Admin
190,Clasificación,Librería Modular
190,Tipo de desarrollo,Front-end
190,Asociado a...,TypeScript
191,Competencia,NGX Charts
191,Clasificación,Librería Modular
191,Tipo de desarrollo,Front-end
